Authors;Articles;Articles Fractionalized
NIELSEN D;3;0,35
NING X;3;0,25
OCHOA-LEYVA A;3;0,4
OKUDA S;3;0,89
PAN Y;3;0,74
PENG W;3;0,31
PENG X;3;0,35
POLLARD K;3;1,03
QIN H;3;0,34
QIN L;3;0,27
SHANAHAN F;3;0,46
SHI J;3;0,36
SHI W;3;0,34
SHIA B;3;0,31
SHIN J;3;0,45
SMARR L;3;0,24
SONG X;3;0,38
SONG Z;3;0,96
STANTON C;3;0,28
STINTZI A;3;0,41
SU Y;3;0,47
SUN J;3;0,21
SØRENSEN S;3;0,29
TAN K;3;0,54
TAN X;3;0,35
TANG Z;3;0,36
TANNOCK G;3;0,23
TRAN N;3;0,49
VAN D A P;3;0,4
WANG D;3;0,39
WEI B;3;0,54
WEI H;3;0,4
WEI P;3;0,32
WEI Y;3;0,42
WILMES P;3;0,19
WU H;3;0,23
WU Q;3;0,36
XIA Y;3;0,39
XIANG S;3;0,3
XIAO L;3;0,14
XIAO X;3;0,17
XIE C;3;0,37
XIE Y;3;0,23
XU B;3;0,29
XU R;3;0,18
XU W;3;0,26
YAN J;3;0,22
YAN Y;3;0,58
YANG S;3;0,3
YANG W;3;0,25
YAO J;3;0,49
YE L;3;0,3
YOU Y;3;0,49
YU D;3;0,34
YU X;3;0,31
ZENG Z;3;0,33
ZHAI Q;3;0,42
ZHANG B;3;0,26
ZHANG D;3;0,47
ZHANG G;3;0,37
ZHANG K;3;0,19
ZHANG N;3;0,27
ZHAO N;3;0,62
ZHAO Z;3;0,43
ZHENG H;3;0,31
ZHOU B;3;0,29
ZHOU G;3;0,43
ZHOU H;3;0,4
ZHOU M;3;0,43
ZHOU Z;3;0,36
ZHU R;3;0,25
ZHUANG Y;3;0,41
ACHARJEE A;2;0,21
AFOLAYAN A;2;0,31
AGUILERA M;2;0,24
AHMAD S;2;0,28
ALI S;2;0,22
AMADIEU C;2;0,23
AMOS G;2;0,25
AN J;2;0,26
APTE Z;2;0,28
ARMENGAUD J;2;0,07
ARNTZEN M;2;0,07
AVERINA O;2;0,37
AYENI F;2;0,31
AZAD M;2;0,15
BAI X;2;0,25
BAI Y;2;0,18
BAJAJ J;2;0,42
BARONE M;2;0,22
BASTOLA D;2;1
BECHER D;2;0,11
BELKOVA N;2;0,45
BENNDORF D;2;0,07
BERRY D;2;0,18
BHATT A;2;0,26
BIK E;2;0,28
BO S;2;0,21
BORK P;2;0,25
BOSÁK J;2;0,19
BOURGONJE A;2;0,15
BURK R;2;0,15
BUTCHER J;2;0,27
CAI M;2;0,39
CAI Y;2;0,23
CANTACESSI C;2;0,21
CAO M;2;0,17
CAO Y;2;0,17
CAO Z;2;0,22
CERK K;2;0,24
CHAN P;2;0,15
CHANDRABABU S;2;1
CHANG L;2;0,16
CHANG T;2;0,25
CHANG Y;2;0,18
CHAUHAN N;2;0,48
CHEN D;2;0,38
CHEN K;2;0,2
CHEN N;2;0,25
CHENG M;2;0,26
CHING J;2;0,12
CHOI H;2;0,21
CHUNG W;2;0,27
COMTE B;2;0,08
DANIEL S;2;0,17
DE L V N;2;0,15
DE M M;2;0,22
DE T P;2;0,23
DE V W;2;0,12
DELZENNE N;2;0,23
DENG H;2;0,29
DENG X;2;0,27
DING Q;2;0,21
DING Y;2;0,27
DODD D;2;0,28
DONG Z;2;0,18
DU B;2;0,21
DU L;2;0,22
DU Y;2;0,25
DUAN C;2;0,19
DUAN M;2;0,31
DUAN S;2;0,15
DUARTE J;2;0,15
DUARTE R;2;0,28
ERCOLINI D;2;0,14
FABBRINI M;2;0,23
FAN C;2;0,29
FAN J;2;0,19
FAN X;2;0,25
FANG Z;2;0,28
FENG D;2;0,24
FENG J;2;0,32
FENG N;2;0,17
FIEDOROVÁ K;2;0,19
FORSLUND S;2;0,35
FOUHY F;2;0,19
FRANCESCHI C;2;0,08
FRANK M;2;0,42
FRANKE A;2;0,12
FRANZOSA E;2;0,15
FREIBERGER T;2;0,19
FU H;2;0,15
FU L;2;0,26
GAN Y;2;0,19
GAO Q;2;0,2
GAO S;2;0,19
GAO W;2;0,19
GE Y;2;0,11
GHOSH T;2;0,28
GIULIANI A;2;0,31
GKOUTOS G;2;0,21
GODDARD A;2;0,28
GONG L;2;0,24
GOYAL A;2;0,5
GU J;2;0,19
GUAN Y;2;0,32
GUO C;2;0,18
GUO H;2;0,19
GUO R;2;0,12
GUO S;2;0,24
GUO W;2;0,17
GUPTA A;2;0,29
GÓMEZ-GUZMÁN M;2;0,15
HALDER R;2;0,13
HALL L;2;0,16
HAN B;2;0,35
HAN N;2;0,21
HAN S;2;0,33
HAN X;2;0,35
HE D;2;0,11
HE F;2;0,33
HENRY C;2;0,07
HETTICH R;2;0,07
HO J;2;0,17
HOHLFELD R;2;0,52
HOLLISTER E;2;0,59
HOSOMI K;2;0,15
HOU Q;2;0,31
HOU X;2;0,24
HOYLES L;2;0,11
HSU C;2;0,38
HU H;2;0,28
HU L;2;0,14
HU M;2;0,13
HU N;2;0,29
HU R;2;0,33
HU S;2;0,11
HU Z;2;0,13
HUANG Q;2;0,32
HUANG R;2;0,23
HUANG W;2;0,29
HUNG C;2;0,25
HUTTENHOWER C;2;0,15
JACOBSON D;2;0,16
JAGTAP P;2;0,07
JAKOBSEN R;2;0,26
JEFFERY I;2;0,28
JEHMLICH N;2;0,07
JI W;2;0,14
JI Y;2;0,31
JIA S;2;0,19
JIANG C;2;0,2
JIANG M;2;0,11
JIANG P;2;0,17
JIANG T;2;0,15
JIAO N;2;0,19
JIMÉNEZ R;2;0,15
JIN C;2;0,32
JIN L;2;0,24
JIN M;2;0,19
JIN X;2;0,16
JOHNSON J;2;0,58
JR;2;0,16
JUNG D;2;0,28
JUSTE C;2;0,07
KANG G;2;0,25
KANG S;2;0,3
KANG Y;2;0,23
KAO Y;2;0,25
KAPLAN R;2;0,15
KIM K;2;0,39
KIM M;2;0,25
KLIMENKO E;2;0,45
KNUDSEN J;2;0,17
KO C;2;0,35
KONG L;2;0,23
KONG X;2;0,21
KONG Y;2;0,14
KORCSMAROS T;2;0,4
KORPELA K;2;0,21
KOVTUN A;2;0,37
KRAUSE L;2;0,39
KUNISAWA J;2;0,15
KWONG T;2;0,32
LAMENDELLA R;2;0,4
LAN Y;2;0,17
LAN Z;2;0,2
LAWLEY B;2;0,18
LAWLEY T;2;0,13
LEARDINI D;2;0,16
LECLERCQ S;2;0,23
LEE E;2;0,44
LEE K;2;0,19
LEPAGE P;2;0,17
LEWIS C;2;0,16
LEXA M;2;0,19
LI A;2;0,13
LIANG F;2;0,17
LIANG J;2;0,33
LIANG Y;2;0,25
LIAO B;2;0,21
LIM Y;2;0,15
LIN H;2;0,22
LIN M;2;0,23
LIN Q;2;0,15
LING Z;2;0,23
LITZMAN J;2;0,19
LIU G;2;0,28
LIU K;2;0,11
LIU M;2;0,21
LOGAN A;2;0,25
LU N;2;0,17
LUCKING E;2;0,2
LUDVIGSSON J;2;0,14
LUI G;2;0,15
LUNA R;2;0,18
LUO D;2;0,2
LUO H;2;0,17
LUO J;2;0,39
LUO K;2;0,19
LUO L;2;0,2
LV H;2;0,23
LV J;2;0,31
LV Q;2;0,19
LÓPEZ-MORENO A;2;0,24
MA D;2;0,29
MA F;2;0,2
MA R;2;0,21
MA Z;2;1,11
MACHIAVELLI A;2;0,28
MACK D;2;0,27
MALLICK H;2;0,15
MAO J;2;0,16
MARQUES F;2;0,19
MASETTI R;2;0,16
MAY P;2;0,13
