Year;Front Cel Infec Microbiol.;Gut Microbes;Front Microbiol.;Microbiome;Front Immunol.;Nutrients;Sci Rep.;Int J Mol Sci.;Plos ONE;Nat Communic.
2012;0;0;0;0;0;0;0;0;0;0
2013;0;0;0;0;0;0;0;0;0;0
2014;0;0;0;0;0;0;0;0;0;0
2015;0;0;0;0;0;0;0;0;0;0
2016;0;0;0;0;0;0;0;0;0;0
2017;0;0;0;0;0;0;0;0;1;0
2018;1;1;3;2;0;1;2;1;3;2
2019;4;5;7;7;2;1;4;3;6;5
2020;14;11;18;13;3;9;6;6;6;8
2021;36;26;25;18;12;12;15;10;11;12
2022;62;42;37;28;21;19;15;14;14;14
2023;71;62;41;36;26;19;16;15;15;14
